Título,Autor,Nº Páginas,Editora,Idioma,Acabamento,ISBN,Documento
Livro - Os Miseráveis - Walcyr Carrasco,Walcyr Carrasco; Victor Hugo,214,Moderna,Português,Brochura,8516079732,search/static/search/pages/Extra/Positivas/Livro_-_Os_Miseráveis_-_Walcyr_Carrasco_-_Juvenil_no_Extra.com.br.html
Livro - Panelinha - Receitas Que Funcionam - Rita Lobo,Rita Lobo,400,Senac,Português,Brochura,8539602776,search/static/search/pages/Extra/Positivas/Livro_-_Panelinha_-_Receitas_Que_Funcionam_-_Rita_Lobo_-_Culinária_no_Extra.com.br.html
Livro - A Pequena Filosofia da Mafalda - Vamos à Sopa - Joaquim Salvador Lavado (Quino),Joaquim Salvador Lavado (Quino),36,Martins,Português,Brochura,9788580632156,search/static/search/pages/Extra/Positivas/Livro_-_A_Pequena_Filosofia_da_Mafalda_-_Vamos_à_Sopa_-_Joaquim_Salvador_Lavado_(Quino)_-_Infantis_no_Extra.com.br.html
Livro - A Seleção: 35 Garotas e uma Coroa - Volume 1 - Kiera Cass,Kiera Cass,368,Seguinte,Português,Brochura,9788565765015,search/static/search/pages/Extra/Positivas/Livro_-_A_Seleção__35_Garotas_e_uma_Coroa_-_Volume_1_-_Kiera_Cass_-_Juvenil_no_Extra.com.br.html
Livro - Como Eu Era Antes de Você - Jojo Moyes,Jojo Moyes,320,Intrínseca,Português,Brochura,8580573297,search/static/search/pages/Extra/Positivas/Livro_-_Como_Eu_Era_Antes_de_Você_-_Jojo_Moyes_-_Romance_no_Extra.com.br.html
Livro - Elas Podem... e Devem: o Livro que vai Mexer com Você - Flaviane Brandemberg,Flaviane Brandemberg,114,Ser,Português,Brochura,8563178393,search/static/search/pages/Extra/Positivas/Livro_-_Elas_Podem..._e_Devem_-_o_Livro_que_vai_Mexer_com_Você_-_Flaviane_Brandemberg_-_Sexologia_no_Extra.com.br.html
Livro - Em Busca de Sentido: Um Psicólogo no Campo de Concentração,Viktor E. Frankl,186,Vozes,Português,Brochura,8532606261,search/static/search/pages/Extra/Positivas/Livro_-_Em_Busca_de_Sentido_-_Um_Psicólogo_no_Campo_de_Concentração_-_Psicologia_no_Extra.com.br.html
"Livro - Eu, Fernando Pessoa: em Quadrinhos - Susana Ventura",Susana Ventura,72,Peirópolis,Português,Brochura,9788575963050,"search/static/search/pages/Extra/Positivas/Livro_-_Eu,_Fernando_Pessoa_-_em_Quadrinhos_-_Susana_Ventura_-_Quadrinhos_Adultos_no_Extra.com.br.html"
MAIS ESPERTO QUE O DIABO,"HILL, NAPOLEON",200,CDG,PORTUGUÊS,BROCHURA,8568014003,search/static/search/pages/Livaria_Cultura/Positivas/Livro_-_MAIS_ESPERTO_QUE_O_DIABO_-_Livraria_Cultura.html
O CAIBALION,TRES INICIADOS,128,PENSAMENTO,PORTUGUÊS,BROCHURA,8531500710,search/static/search/pages/Livaria_Cultura/Positivas/Livro_-_O_CAIBALION_-_Livraria_Cultura.html
O PODER DO HÁBITO,"DUHIGG, CHARLES",408,OBJETIVA,PORTUGUÊS,BROCHURA,8539004119,search/static/search/pages/Livaria_Cultura/Positivas/Livro_-_O_PODER_DO_HÁBITO_-_Livraria_Cultura.html
QUEM PENSA ENRIQUECE,"HILL, NAPOLEON",248,FUNDAMENTO,PORTUGUÊS,BROCHURA,8576766302,search/static/search/pages/Livaria_Cultura/Positivas/Livro_-_QUEM_PENSA_ENRIQUECE_-_Livraria_Cultura.html
SOCIEDADE DO CANSAÇO,"HAN, BYUNG-CHUL",136,VOZES,PORTUGUÊS,BROCHURA,8532649963,search/static/search/pages/Livaria_Cultura/Positivas/Livro_-_SOCIEDADE_DO_CANSAÇO_-_Livraria_Cultura.html
GESTALT-TERAPIA - FUNDAMENTOS EPISTEMOLOGICOS,"FRAZAO, LILIAN MEYER",184,SUMMUS,PORTUGUÊS,BROCHURA,8532309089,search/static/search/pages/Livaria_Cultura/Positivas/Livro_GESTALT-TERAPIA_-_FUNDAMENTOS_EPISTEMOLOGICOS___Livraria_Cultura.html
INTRODUÇAO A ALGEBRA LINEAR COM APLICAÇOES,"KOLMAN, BERNARD",684,LTC,PORTUGUÊS,BROCHURA,8521614780,search/static/search/pages/Livaria_Cultura/Positivas/Livro_INTRODUÇAO_A_ALGEBRA_LINEAR_COM_APLICAÇOES___Livraria_Cultura.html
O DIÁRIO DE ANNE FRANK,"FRANK, ANNE",224,PRINCIPIS,PORTUGUÊS,BROCHURA,8594318286,search/static/search/pages/Livaria_Cultura/Positivas/Livro_O_DIÁRIO_DE_ANNE_FRANK___Livraria_Cultura.html
O MUNDO SEGUNDO FELIPE NETO,"NETO, FELIPE",128,PIXEL,PORTUGUÊS,CAPA,8555462096,search/static/search/pages/Livaria_Cultura/Positivas/Livro_O_MUNDO_SEGUNDO_FELIPE_NETO___Livraria_Cultura.html
O PEQUENO PRINCIPE (LIVRO DE BOLSO),"SAINT-EXUPERY, ANTOINE DE",96,CAMINHO,PORTUGUÊS,BROCHURA,8589987337,search/static/search/pages/Livaria_Cultura/Positivas/Livro_O_PEQUENO_PRINCIPE_(LIVRO_DE_BOLSO)___Livraria_Cultura.html
"PRÓLOGO, ATO, EPÍLOGO","MONTENEGRO, FERNANDA",328,COMPANHIA,PORTUGUÊS,BROCHURA,8535932550,"search/static/search/pages/Livaria_Cultura/Positivas/Livro_PRÓLOGO,_ATO,_EPÍLOGO___Livraria_Cultura.html"
QUEM PENSA ENRIQUECE,"HILL, NAPOLEON",248,FUNDAMENTO,PORTUGUÊS,BROCHURA,8576766302,search/static/search/pages/Livaria_Cultura/Positivas/Livro_QUEM_PENSA_ENRIQUECE___Livraria_Cultura.html
"Ambiente E Os Processos De Maturacao, O","Winnicott, Dona",268,Artmed,Português,Livro,9788573074567,"search/static/search/pages/Disal/Positivas/Ambiente_E_Os_Processos_De_Maturacao,_O_-_9788573074567.html"
Autorretrato E Outras Crônicas,"Andrade, Drummond De Andrade",256,Record,Português,Livro,9788501112330,search/static/search/pages/Disal/Positivas/Autorretrato_E_Outras_Crônicas_-_9788501112330.html
Aventuras Na Netoland Com Luccas Neto,"Neto, Luccas",64,Pixel Media (nova Fronteira),Português,Livro,9788555461002,search/static/search/pages/Disal/Positivas/Aventuras_Na_Netoland_Com_Luccas_Neto_-_9788555461002.html
Exames Laboratoriais E Diagnosticos Em Enfermagem - 9º Ed,"Fischbach, Frances",732,Guanabara (grupo Gen),Português,Livro,9788527726634,search/static/search/pages/Disal/Positivas/Exames_Laboratoriais_E_Diagnosticos_Em_Enfermagem_-_9o_Ed_-_9788527726634.html
Fisiologia Endocrina (lange) - 4º Ed,"Molina, Patricia E.",309,Mcgraw Hill (artmed),Português,Livro,9788580553918,search/static/search/pages/Disal/Positivas/Fisiologia_Endocrina_(lange)_-_4o_Ed_-_9788580553918.html
Gestao Hospitalar - Para Uma Administracao Eficaz,"Malagon-londono, Gustavo",612,Guanabara (grupo Gen),Português,Livro,9788527733298,search/static/search/pages/Disal/Positivas/Gestao_Hospitalar_-_Para_Uma_Administracao_Eficaz_-_9788527733298.html
Gramatica Da Lingua Portuguesa Para Leigos,"Schlee, Magda Bahia",248,Alta Books,Português,Livro,9788550803395,search/static/search/pages/Disal/Positivas/Gramatica_Da_Lingua_Portuguesa_Para_Leigos_-_9788550803395.html
Introducao A Analise Matematica,"Avila, Geraldo",260,Edgard Blucher,Português,Livro,9788521201687,search/static/search/pages/Disal/Positivas/Introducao_A_Analise_Matematica_-_9788521201687.html
Michaelis Minidicionario Alemao - Alemao-portugues - Portugues-alemao,Melhoramentos,480,Melhoramentos,Alemão-português / português-alemão,Livro,9788506078563,search/static/search/pages/Disal/Positivas/Michaelis_Minidicionario_Alemao_-_Alemao-portugues_-_Portugues-alemao_-_9788506078563.html
Michaelis Minidicionario Espanhol - Espanhol-portugues / Portugues-espanhol,Melhoramentos,462,Melhoramentos,Português - Espanhol,Livro,9788506078532,search/static/search/pages/Disal/Positivas/Michaelis_Minidicionario_Espanhol_-_Espanhol-portugues___Portugues-espanhol_-_9788506078532.html
Michaelis Minidicionario Frances - Frances-portugues / Portugues-frances - 3ª Ed,Melhoramentos,510,Melhoramentos,Português - Francês,Livro,9788506078549,search/static/search/pages/Disal/Positivas/Michaelis_Minidicionario_Frances_-_Frances-portugues___Portugues-frances_-_3a_Ed_-_9788506078549.html
A cinco passos de você,Rachael Lippincott,288,Globo Alt,Português,Livro brochura,9788525067425,search/static/search/pages/Americanas/Positivas/Livro_-_A_Cinco_Passos_de_Você_nas_Lojas_Americanas.com.html
A corrente,Adrian McKinty,378,Record,Português,Livro brochura,9788501117656,search/static/search/pages/Americanas/Positivas/Livro_-_A_Corrente_nas_Lojas_Americanas.com.html
As 13 maldições (Vol. 2),Michelle Harrison,434,Bertrand Brasil,Português,Livro brochura,9788528616668,search/static/search/pages/Americanas/Positivas/Livro_-_As_13_Maldições_-_Edição_Econômica_nas_Lojas_Americanas.com.html
Crônicas Saxônicas: A guerra do lobo (Vol. 11),Bernard Cornwell,378,Record,Português,Livro brochura,9788501117359,search/static/search/pages/Americanas/Positivas/Livro_-_Crônicas_Saxônicas:_A_Guerra_do_Lobo_nas_Lojas_Americanas.com.html
Eu sou Eric Zimmerman - Volume 2,Megan Maxwell,400,Essência,Português,Livro brochura,9788542217209,search/static/search/pages/Americanas/Positivas/Livro_-_Eu_Sou_Eric_Zimmerman_nas_Lojas_Americanas.com.html
Herdeiro de Sevenwaters - Vol. 4,Juliet Marillier,496,Butterfly,Português,Livro,9788568674055,search/static/search/pages/Americanas/Positivas/Livro_-_Herdeiro_de_Sevenwaters_-_Coleção_Sevenwaters_-_Vol._4_nas_Lojas_Americanas.com.html
História da filosofia cristã,"Etienne Gilson, Philotheus Boehner",584,Editora Vozes,Português,Livro brochura,9788532607379,search/static/search/pages/Americanas/Positivas/Livro_-_Historia_Da_Filosofia_Crista_nas_Lojas_Americanas.com.html
"Medicina Dos Horrores: A história de Joseph Lister, o homem que revolucionou o apavorante mundo das cirurgias do século XIX",Lindsey Fizharris,320,Intrínseca,Português,Livro Capa Dura,9788551005224,search/static/search/pages/Americanas/Positivas/Livro_-_Medicina_dos_Horrores_nas_Lojas_Americanas.com.html
O cadete e o capitão,Luiz Maklouf Carvalho,256,Todavia,Português,Livro brochura,9786580309351,search/static/search/pages/Americanas/Positivas/Livro_-_O_Cadete_e_o_Capitão_nas_Lojas_Americanas.com.html
Paixão libertadora,Sophie Jackson,352,Editora Arqueiro,Português,Livro brochura,9788580415421,search/static/search/pages/Americanas/Positivas/Livro_-_Paixão_Libertadora_-_Desejo_Proibido_-_Vol._2_nas_Lojas_Americanas.com.html
Luccas Neto em os aventureiros,Luccas Neto,64,Pixel,Português,Livro brochura,9788555461927,search/static/search/pages/Submarino/Positivas/LIvro_-_Luccas_Neto_em_Os_Aventureiros_no_Submarino.com.html
A dama mais apaixonada,"Julia Quinn, Eloisa James, Connie Brockway",288,Editora Arqueiro,Português,Livro brochura,9788530600211,search/static/search/pages/Submarino/Positivas/Livro_-_A_Dama_Mais_Apaixonada_no_Submarino.com.html
O Labirinto Do Fauno,"Guillermo del Toro, Cornelia Funke",320,Intrínseca,Português,Livro Capa Dura,9788551005194,search/static/search/pages/Submarino/Positivas/Livro_-_O_Labirinto_do_Fauno_no_Submarino.com.html
ABSOLUTE SANDMAN VOL. 1,Neil Gaiman,88,Panini Books,Português,Livro Capa Dura,9788573516531,search/static/search/pages/Submarino/Positivas/Livro_-_Sandman_-_Edição_Definitiva_no_Submarino.com.html
,Elizabeth Rudnick,224,,Português,Livro,,search/static/search/pages/Submarino/Positivas/Livro_-_O_Rei_Leão_Livro_Oficial_com_a_História_do_Filme_no_Submarino.com.html
,"Otomo, Katsuhiro",400,,Português,Livro,,search/static/search/pages/Submarino/Positivas/Livro_-_Akira_no_Submarino.com.html
,Veronica Roth,448,,Português,Livro,9788579804557,search/static/search/pages/Submarino/Positivas/Livro_-_Destinos_Divididos_no_Submarino.com.html
,Lauren Blakely,320,,Português,Livro,9788595810846,search/static/search/pages/Submarino/Positivas/Livro_-_Melhor_que_a_Encomenda_no_Submarino.com.html
,Bráulio Bessa,160,,Português,Livro,9788543108377,search/static/search/pages/Submarino/Positivas/Livro_-_Um_Carinho_na_Alma_+_3_Cordéis_do_Autor_no_Submarino.com.html
Seja Foda! - Black Edition,Caio Carneiro,208,Buzz Editora,Português,Livro Capa Dura,9786580435173,search/static/search/pages/Submarino/Positivas/Livro_-_Seja_Foda!_no_Submarino.com.html
