Terms,Freq,Posting,Compress Posting,Gamma Code
adolescente,18,"[1, 3, 11, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 66, 82, 89]","[1, 2, 8, 26, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 18, 16, 7]","[0, 100, 1110000, 111101010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111100010, 111100000, 11011]"
adorei,4,"[0, 5, 52, 55]","[0, 5, 47, 3]","[0, 11001, 11111001111, 101]"
adormecida,3,"[12, 15, 50]","[12, 3, 35]","[1110100, 101, 11111000011]"
adquirido,10,"[27, 28, 30, 31, 32, 33, 34, 35, 36, 55]","[27, 1, 2, 1, 1, 1, 1, 1, 1, 19]","[111101011, 0, 100, 0, 0, 0, 0, 0, 0, 111100011]"
adulto,4,"[1, 9, 50, 58]","[1, 8, 41, 8]","[0, 1110000, 11111001001, 1110000]"
afiliadas,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
afiliados,28,"[9, 10, 11, 12, 13, 14, 15, 16, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[9, 1, 1, 1, 1, 1, 1, 1, 66, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1110001, 0, 0, 0, 0, 0, 0, 0, 1111110000010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
agenda,28,"[9, 10, 11, 12, 13, 14, 15, 16, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 64, 65, 66, 67, 68, 69, 70, 86]","[9, 1, 1, 1, 1, 1, 1, 1, 21, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 16, 1, 1, 1, 1, 1, 1, 16]","[1110001, 0, 0, 0, 0, 0, 0, 0, 111100101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111100000, 0, 0, 0, 0, 0, 0, 111100000]"
agendada,10,"[49, 50, 51, 52, 53, 54, 55, 56, 57, 58]","[49, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11111010001, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
agora,39,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 46, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 76, 78, 82, 83, 87, 92, 93, 95, 98, 101]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 29, 18, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 4, 1, 4, 5, 1, 2, 3, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111101101, 111100010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 100, 11000, 0, 11000, 11001, 0, 100, 101, 101]"
agosto,7,"[0, 1, 5, 7, 8, 52, 54]","[0, 1, 4, 2, 1, 44, 2]","[0, 0, 11000, 100, 0, 11111001100, 100]"
agricultura,12,"[37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]","[37, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11111000101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
agro,20,"[82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[82, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1111110010010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
agropecuária,12,"[37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]","[37, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11111000101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
aguardando,8,"[9, 10, 11, 12, 13, 14, 15, 16]","[9, 1, 1, 1, 1, 1, 1, 1]","[1110001, 0, 0, 0, 0, 0, 0, 0]"
aguarde,40,"[9, 10, 11, 12, 13, 14, 15, 16, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70]","[9, 1, 1, 1, 1, 1, 1, 1, 11, 1, 1, 1, 1, 1, 1, 1, 1, 1, 13, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1110001, 0, 0, 0, 0, 0, 0, 0, 1110011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1110101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ainda,38,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 11, 18, 19, 20, 22, 25, 39, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 61, 62, 64, 65, 66, 67, 70, 73, 82, 85, 86, 95]","[0, 1, 1, 1, 1, 1, 1, 2, 1, 2, 7, 1, 1, 2, 3, 14, 10, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 3, 3, 9, 3, 1, 9]","[0, 0, 0, 0, 0, 0, 0, 100, 0, 100, 11011, 0, 0, 100, 101, 1110110, 1110010, 0, 100, 0, 0, 0, 0, 0, 0, 0, 100, 0, 100, 0, 0, 0, 101, 101, 1110001, 101, 0, 1110001]"
