word,Field Text,Freq,Posting,Compress Posting
25,essência.publishing,1,[86],[86]
53,esteban.author,1,[6],[6]
54,esther.author,1,[47],[47]
55,etienne.author,1,[88],[88]
129,euro.title,1,[40],[40]
130,exames.title,1,[74],[74]
131,exclusivo.title,1,[6],[6]
132,exteriores.title,1,[36],[36]
56,exupery.author,1,[68],[68]
133,fala.title,1,[41],[41]
134,famosas.title,1,[30],[30]
26,fantástica.publishing,1,[3],[3]
135,fauno.title,1,[94],[94]
136,fazer.title,1,[13],[13]
57,felipe.author,1,[67],[67]
137,felipe.title,1,[67],[67]
138,feminino.title,1,[46],[46]
139,feminismo.title,2,"[40, 46]","[40, 6]"
58,fernanda.author,1,[69],[69]
140,fernando.title,1,[58],[58]
141,ferramenta.title,1,[23],[23]
142,filosofia.title,2,"[53, 88]","[53, 35]"
143,finn.title,1,[22],[22]
59,fischbach.author,1,[74],[74]
144,fisiologia.title,1,[75],[75]
60,fizharris.author,1,[89],[89]
61,flaviane.author,1,[56],[56]
145,flaviane.title,1,[56],[56]
146,foda.title,1,[101],[101]
147,formas.title,1,[15],[15]
62,frances.author,1,[74],[74]
148,frances.title,1,[81],[81]
63,francisco.author,1,[32],[32]
3,francês.language,1,[81],[81]
64,frank.author,1,[66],[66]
149,frank.title,1,[66],[66]
65,frankl.author,1,[57],[57]
66,frazao.author,1,[64],[64]
67,freud.author,1,[4],[4]
150,freud.title,1,[4],[4]
68,friedrich.author,1,[8],[8]
27,fronteira.publishing,2,"[1, 73]","[1, 72]"
151,funcionam.title,1,[52],[52]
28,fundamento.publishing,2,"[62, 70]","[62, 8]"
152,fundamentos.title,1,[64],[64]
69,funke.author,1,[94],[94]
70,gabriel.author,1,[29],[29]
71,gaiman.author,2,"[5, 95]","[5, 90]"
153,galáxias.title,1,[14],[14]
72,garcia.author,1,[29],[29]
154,garotas.title,1,[54],[54]
155,garoto.title,1,[2],[2]
29,gente.publishing,1,[23],[23]
156,gera.title,1,[23],[23]
73,geraldo.author,1,[78],[78]
157,gestalt.title,1,[64],[64]
158,gestao.title,1,[76],[76]
74,gilson.author,1,[88],[88]
159,giovanni.title,1,[33],[33]
30,globo.publishing,3,"[0, 21, 82]","[0, 21, 61]"
75,gomes.author,1,[0],[0]
160,good.title,1,[5],[5]
76,graciliano.author,1,[26],[26]
161,gramatica.title,1,[77],[77]
162,gramática.title,1,[47],[47]
163,grandes.title,1,[43],[43]
77,gregorio.author,1,[24],[24]
78,grimm.author,1,[50],[50]
164,grimm.title,1,[50],[50]
31,grupo.publishing,2,"[74, 76]","[74, 2]"
32,guanabara.publishing,3,"[8, 74, 76]","[8, 66, 2]"
165,guerra.title,1,[85],[85]
166,guia.title,1,[14],[14]
79,guillermo.author,1,[94],[94]
33,gulliver.publishing,1,[44],[44]
80,gustavo.author,1,[76],[76]
81,haibara.author,1,[31],[31]
82,harrison.author,1,[84],[84]
83,hellard.author,1,[30],[30]
84,henry.author,1,[33],[33]
167,herdeiro.title,1,[87],[87]
85,hill.author,3,"[59, 62, 70]","[59, 3, 8]"
34,hill.publishing,1,[75],[75]
168,historia.title,2,"[18, 19]","[18, 1]"
169,história.title,4,"[3, 40, 88, 89]","[3, 37, 48, 1]"
86,hoffmann.author,1,[39],[39]
170,homem.title,1,[89],[89]
171,horrores.title,1,[89],[89]
172,hospitalar.title,1,[76],[76]
87,hugo.author,1,[51],[51]
173,humana.title,1,[8],[8]
174,hábito.title,1,[61],[61]
175,imperador.title,1,[19],[19]
176,inclui.title,1,[21],[21]
177,indiozinhos.title,1,[31],[31]
178,ineditos.title,1,[19],[19]
179,influenciar.title,1,[13],[13]
88,iniciados.author,1,[60],[60]
180,internet.title,1,[7],[7]
181,interpretação.title,1,[4],[4]
182,introducao.title,1,[78],[78]
183,introduçao.title,1,[65],[65]
35,intrínseca.publishing,4,"[2, 55, 89, 94]","[2, 53, 34, 5]"
89,irmãos.author,1,[50],[50]
